college_name,location,year,specialization,state,owned
Shri Guru Ram Rai University ,Dehradun ,2017,Medicine ,Uttarakhand,P
Techno India University ,"New Town, Kolkata ",2012,"Technology, Management ",West Bengal,P
Adamas University ,Barasat ,2014,"Technology, Management ",West Bengal,P
JIS University ,Agarpara ,2014,"Technology, Management ",West Bengal,P
Brainware University ,Barasat ,2016,"Technology, Management, General ",West Bengal,P
Seacom Skills University ,Birbhum ,2014,Technology ,West Bengal,P
"University of Engineering & Management (UEM), Kolkata ","New Town, Kolkata ",2014,"Technology, Management ",West Bengal,P
Neotia University ,Sarisha ,2015,General ,West Bengal,P
"Amity University, Kolkata ","New Town, Kolkata ",2015,General ,West Bengal,P
"St. Xavier's University, Kolkata ","New Town, Kolkata ",2017,"Management, General ",West Bengal,P
Sister Nivedita University ,"New Town, Kolkata ",2017,"Technology, Management ",West Bengal,P
Gandhi Institute of Technology and Management ,Visakhapatnam ,1980,"Technology, Management ",Andhra Pradesh ,D
Koneru Lakshmaiah Education Foundation ,Vaddeswaram ,1980,"Technology, Management ",Andhra Pradesh ,D
"Vignan's Foundation for Science, Technology & Research ",Guntur ,1997,Technology ,Andhra Pradesh ,D
Sri Sathya Sai Institute of Higher Learning ,Anantapur ,1981,Multidisciplinary ,Andhra Pradesh ,D
North Eastern Regional Institute of Science and Technology ,Itanagar ,1986,Technology ,Arunachal Pradesh ,D
Nava Nalanda Mahavihara ,Nalanda ,1951,Buddhist Studies ,Bihar ,D
Punjab Engineering College ,Chandigarh ,1921,Technology ,Chandigarh ,D
Indian Agricultural Research Institute ,New Delhi ,1905,Agricultural Science ,Delhi ,D
Indian Institute of Foreign Trade ,New Delhi ,1963,Management ,Delhi ,D
Indian Law Institute ,New Delhi ,1956,Law ,Delhi ,D
Institute of Liver and Biliary Sciences ,New Delhi ,2009,Medical Sciences ,Delhi ,D
Jamia Hamdard ,New Delhi ,1948,Multidisciplinary ,Delhi ,D
